"|","question","department","relevance"
"4w1","Observando o relacionamento, tanto entre sócios, como entre dirigentes e, uns com os outros (administração interna de conflitos), constata-se que o ambinte na alta direção é positivo para a obtenção de bons resultados para a empresa?","gestão estratégica","true"
"4w2","Observando os processos que regulam a gestão estratégica, constata-se que há norma de Governança Corporativa estabelecida e respeitada, compatível com o porte e estrutra administrativa da empresa?","gestão estratégica","false"
"4w3","Analisando a expertise e o nível de instrução do quadro dirigente, observa-se que esse nível pode ser considerado um diferencial competitivo da empresa?","gestão estratégica","false"
"4w4","O quadro gerencial se apresenta como fator diferencial e competitivo da empresa, considerando o grau de instrução e a expertise dos seus gerentes?","recursos humanos","true"
"4w5","Os ocupantes dos cargos de liderança apresentam-se motivados, demonstram flexibilidade, respeito, capacidade de ouvir, de aceitar contribuições e estimulam o trabalho em equipe?","recursos humanos","false"
"4w6","Os conflitos interpessoais no trabalho são tratados de forma transparente e imediata, estimulando o diálogo franco e respeitoso?","recursos humanos","false"
"4w7","Se realizado o planejamento estratégico, no que se refere ao capítulo da matriz SWOT, são realmente bem analisados os pontos fortes e fracos, as oportunidades e ameaças?","gestão estratégica","false"
"4w8","Continuando com o foco na estratégia, a Missão, Visão e Valores são é internalizados para forjar cultura (Valor) empresarial?","gestão estratégica","false"
"4w9","Existe monitoramento e avaliação do planejamento estratégico, para assegurar a implantação de cada estratégia e o cumprimento dos objetivos e das metas estabelecidas?","gestão estratégica","false"
"4w10","Os líderes demonstram ter domínio do seu trabalho e consciência do seu papel para a conquista dos objetivos organizacionais estratégicos?","recursos humanos","false"
"4w11","Existindo uma política interna de comunicação ela é conhecida por todos?","recursos humanos","false"
"4w12","Existindo uma assessoria de comunicação para o público externo, como avalia os resultados?","gestão estratégica","false"
"4w13","A empresa e os sócios possuem cadastro positivo no mercado bancário e junto aos fornecedores?","financeira","false"
"4w14","A empresa dispõe de certidões atestando regularidade das situações fiscais e previdenciária (município, estado, União, judiciário e FGTS)?","financeira","false"
"4w15","Há um organograma com as áreas bem definidas, que permite observar a distribuição dos recursos humanos na estrutura da organização, auxiliando o planejamento e a operação da empresa?","gestão estratégica","false"
"4w16","Os cargos e as funções estão adequadamente nomeados, descritos e representam de forma fiel o disposto no organograma?","recursos humanos","false"
"4w17","Há informações sistematizadas sobre os colaboradores para cada função, ajustadas ao mercado, com política de salário, comissão, encargos e benefícios definidos? Essas informaçãoes podem orientar análise sobre a viabilidade de terceirização de serviços?","recursos humanos","true"
"4w18","Há, quanto a cargo e carreira, política implantada na empresa para avaliação do desempenho dos empregados?","recursos humanos","false"
"4w19","Há programa formalizado de capacitação e desenvolvimento dos trabalhadores? O programa considera custos/benefícios, é conhecido pela força de trabalho e monitorado em seus resultados?","recursos humanos","false"
"4w20","Há na empresa incentivo à geração de ideias/inovação entre colaboradores e parceiros?","gestão estratégica","false"
"4w21","As reclamações e informações dos clientes são registradas, analisadas e utilizadas para a tomada de ações visando aperfeiçoar os processos, fidelizar os clientes e melhorar o negócio?","administrativa","false"
"4w22","Observando o investimento em pesquisa, desenvolvimento, inovação e criatividade, verifica-se que o retorno esperado em PD&I está atendendo a expectativa da empresa?","gestão estratégica","false"
"4w23","A empresa avalia sistematicamente a lucratividade dos produtos/serviços e realiza suas ofertas com visão estratégica, considerando essas análises?","comercial","true"
"4w24","Observando a questão da qualidade, verifica-se que há na empresa atenção com a busca da excelência?","gestão estratégica","false"
"4w25","Existe sistemática formalizada de seleção de pessoal, que estabeleça os pré-requisitos de educação, conhecimentos técnicos e habilidades interpessoais, adequados a cada cargo?","recursos humanos","false"
"4w26","São identificados cuidados e atenção com a saúde, conforto, melhoria da qualidade de vida e segurança dos trabalhadores?","recursos humanos","false"
"4w27","A negociação da empresa com os fornecedores, levando em conta a observância dos direitos e das obrigações das partes, está trazendo boas condições de compra?","financeira","false"
"4w28","Os sócios/gestores costumam recorrer a ""favorecimentos"" e a caminhos informais para resolver problemas da empresa?","gestão estratégica","false"
"4w29","A empresa tem relacionamento com suas congêneres e participa efetivamente de associações de classe e do sindicato patronal?","gestão estratégica","false"
"4w30","A empresa adota código de ética e de conduta que respeita a lei anticorrupção, de forma escrita e amplamente conhecida por todos os colaboradores?","recursos humanos","true"
"4w31","A empresa respeita os direitos humanos básicos dos trabalhadores, promovendo a igualdade de oportunidades e de tratamento para os seus colaboradores, independentemente de raça, cor, nacionalidade, condição social, necessidades especiais, orientação sexual, convicções políticas ou religiosas, sexo ou idade?","recursos humanos","false"
"4w32","A empresa tem procedimentos e canais formalizados e disseminados para registro, apuração e ação sobre denúncias de irregularidades?","recursos humanos","false"
